,,,Salary,Salary,Salary,Salary,Salary,Salary,,
223,Deni Avdija\avdijde01,WAS,$4469160,$4692840,$4916160,$6263188,,,1st Round Pick,$9162000
224,Cam Reddish\reddica01,ATL,$4458000,$4670160,$5954454,,,,1st Round Pick,$9128160
225,Mikal Bridges\bridgmi01,PHO,$4359000,$5557725,,,,,1st Round Pick,$9916725
226,T.J. Leaf\leaftj01,OKC,$4326825,,,,,,1st Round Pick,$4326825
227,Jalen Smith\smithja04,PHO,$4245720,$4458000,$4670160,$5954454,,,1st Round Pick,$8703720
228,Cameron Johnson\johnsca02,PHO,$4235160,$4437000,$5887899,,,,1st Round Pick,$8672160
229,JaVale McGee\mcgeeja01,CLE,$4200000,,,,,,Cap Space,$4200000
230,Reggie Bullock\bullore01,NYK,$4200000,,,,,,Room Exception,$1000000
231,Shai Gilgeous-Alexander\gilgesh01,OKC,$4141320,$5495532,,,,,1st Round Pick,$9636852
232,John Collins\collijo01,ATL,$4137302,,,,,,1st Round Pick,$4137302
233,Nicolò Melli\mellini01,NOP,$4097561,,,,,,Room Exception,$4097561
234,Devin Vassell\vassede01,SAS,$4033440,$4235160,$4437000,$5887899,,,1st Round Pick,$8268600
235,P.J. Washington\washipj01,CHO,$4023600,$4215120,$5808435,,,,1st Round Pick,$8238720
236,Willie Cauley-Stein\caulewi01,DAL,$4000000,$4200000,,,,,MLE,$8200000
237,Dorian Finney-Smith\finnedo01,DAL,$4000000,$4000000,,,,,Bird Rights,$8000000
238,Patrick McCaw\mccawpa01,TOR,$4000000,,,,,,MLE,$4000000
239,Terrance Ferguson\fergute01,PHI,$3944013,,,,,,1st Round Pick,$3944013
240,Miles Bridges\bridgmi02,CHO,$3934320,$5421493,,,,,1st Round Pick,$9355813
241,Jarrett Allen\allenja01,BRK,$3909902,,,,,,1st Round Pick,$3909902
242,OG Anunoby\anunoog01,TOR,$3872215,$16071429,$17357143,$18642857,$19928571,,1st Round Pick,$75872215
243,Tyrese Haliburton\halibty01,SAC,$3831840,$4023600,$4215120,$5808435,,,1st Round Pick,$7855440
244,Tyler Herro\herroty01,MIA,$3822240,$4004280,$5722116,,,,1st Round Pick,$7826520
245,Stanley Johnson\johnsst04,TOR,$3801000,,,,,,Bi-annual Exception,$3801000
246,Jake Layman\laymaja01,MIN,$3761085,$3940184,,,,,Sign and Trade,$7701269
247,Danuel House\houseda01,HOU,$3717000,$3894000,,,,,MLE,$7611000
248,Kira Lewis Jr.\lewiski01,NOP,$3640200,$3822240,$4004280,$5722116,,,1st Round Pick,$7462440
249,Romeo Langford\langfro01,BOS,$3631200,$3804360,$5634257,,,,1st Round Pick,$7435560
250,Facundo Campazzo\campafa01,DEN,$3623000,$3804150,,,,,Bi-Annual Exception,$7427150
251,Bobby Portis\portibo01,MIL,$3623000,$3804150,,,,,Bi-Annual Exception,$3623000
252,Maurice Harkless\harklma01,MIA,$3623000,,,,,,MLE,$3623000
253,Wesley Matthews\matthwe02,LAL,$3623000,,,,,,Bi-Annual Exception,$3623000
254,Kyle Kuzma\kuzmaky01,LAL,$3562178,$13000000,$13000000,$13000000,,,1st Round Pick,$29562178
255,Michael Porter Jr.\portemi01,DEN,$3550800,$5258735,,,,,1st Round Pick,$8809535
256,Jevon Carter\carteje01,PHO,$3549383,$3833333,$4117284,,,,Early Bird,$11500000
257,Tony Bradley\bradlto01,PHI,$3542060,,,,,,1st Round Pick,$3542060
258,Derrick White\whitede01,SAS,$3516284,$15178571,$16392857,$17607143,$18821429,,1st Round Pick,$71516284
259,Mirza Teletović\teletmi01,MIL,$3500000,,,,,,,$3500000
260,Boban Marjanović\marjabo01,DAL,$3500000,,,,,,Bi-Annual Exception,$3500000
261,T.J. McConnell\mccontj01,IND,$3500000,,,,,,Cap Space,$1000000
262,Josh Hart\hartjo01,NOP,$3491159,,,,,,1st Round Pick,$3491159
263,Aaron Nesmith\nesmiaa01,BOS,$3458400,$3631200,$3804360,$5634257,,,1st Round Pick,$7089600
264,Sekou Doumbouya\doumbse01,DET,$3449400,$3613680,$5539771,,,,1st Round Pick,$7063080
265,Troy Brown Jr.\browntr01,WAS,$3372840,$5170564,,,,,1st Round Pick,$8543404
266,James Ennis\ennisja01,ORL,$3300000,,,,,,MLE,$3300000
267,Cole Anthony\anthoco01,ORL,$3285120,$3449400,$3613680,$5539771,,,1st Round Pick,$6734520
268,Zhaire Smith\smithzh01,DET,$3204600,,,,,,,$3204600
269,Trey Burke\burketr01,DAL,$3174603,$3333333,$3492063,,,,MLE,$6507936
270,Austin Rivers\riverau01,NYK,$3174603,$3333333,$3492063,,,,Sign and Trade,$3174603
271,Jon Leuer\leuerjo01,MIL,$3169348,$3169347,,,,,,$6338695
272,Chuma Okeke\okekech01,ORL,$3121080,$3277080,$3433320,$5266713,,,1st Round Pick,$6398160
273,Isaiah Stewart\stewais01,DET,$3121080,$3277080,$3433320,$5266713,,,1st Round Pick,$6398160
274,Nickeil Alexander-Walker\alexani01,NOP,$3113160,$3261480,$5009633,,,,1st Round Pick,$3113160
